Time,WindPower
2009070100,0.40500000000000014
2009070200,0.30999999999999994
2009070300,4.2829999999999995
2009070400,8.237
2009070500,3.1069999999999993
2009070600,2.117
2009070700,4.973
2009070800,2.7110000000000003
2009070900,1.0899999999999999
2009071000,3.9570000000000003
2009071100,9.327000000000004
2009071200,8.697000000000001
2009071300,9.850999999999999
2009071400,6.252999999999999
2009071500,3.473
2009071600,6.688000000000001
2009071700,1.7369999999999997
2009071800,4.037
2009071900,4.849999999999999
2009072000,0.20500000000000007
2009072100,1.465
2009072200,2.596
2009072300,2.5239999999999996
2009072400,1.145
2009072500,3.209
2009072600,3.2019999999999995
2009072700,4.03
2009072800,9.229000000000001
2009072900,3.5679999999999996
2009073000,1.52
2009073100,2.435
2009080100,5.213
2009080200,6.736000000000001
2009080300,8.736999999999998
2009080400,11.018000000000002
2009080500,6.497000000000001
2009080600,3.6149999999999998
2009080700,3.3539999999999996
2009080800,2.696
2009080900,5.042
2009081000,3.8739999999999983
2009081100,1.43
2009081200,1.2049999999999994
2009081300,0.18000000000000005
2009081400,0.29500000000000004
2009081500,2.0200000000000005
2009081600,1.44
2009081700,7.3439999999999985
2009081800,8.385
2009081900,1.734
2009082000,7.329000000000001
2009082100,10.22
2009082200,1.8739999999999999
2009082300,1.9549999999999996
2009082400,0.7900000000000001
2009082500,6.921
2009082600,5.261000000000002
2009082700,1.798
2009082800,4.161
2009082900,8.045
2009083000,6.289999999999999
2009083100,0.6100000000000001
2009090100,0.22500000000000003
2009090200,0.0
2009090300,0.0
2009090400,0.34
2009090500,0.25
2009090600,0.8600000000000001
2009090700,2.01
2009090800,0.9250000000000002
2009090900,2.48
2009091000,3.4700000000000006
2009091100,2.805
2009091200,1.4719999999999993
2009091300,4.4639999999999995
2009091400,5.705
2009091500,2.9659999999999997
2009091600,3.948000000000001
2009091700,1.3009999999999997
2009091800,7.218000000000001
2009091900,1.8239999999999996
2009092000,0.8850000000000002
2009092100,6.761999999999999
2009092200,4.841
2009092300,6.625000000000001
2009092400,1.7579999999999998
2009092500,3.412
2009092600,4.630000000000001
2009092700,1.76
2009092800,13.036
2009092900,16.583
2009093000,9.063
2009100100,2.9299999999999993
2009100200,6.5219999999999985
2009100300,6.539
2009100400,4.827999999999999
2009100500,9.761
2009100600,3.455
2009100700,18.082999999999995
2009100800,6.135
2009100900,1.984
2009101000,3.6619999999999995
2009101100,11.025000000000002
2009101200,1.934
2009101300,5.569
2009101400,2.4370000000000003
2009101500,6.388999999999999
2009101600,4.024
2009101700,1.3199999999999998
2009101800,1.4499999999999997
2009101900,12.085999999999999
2009102000,6.289999999999999
2009102100,0.41000000000000003
2009102200,11.958
2009102300,10.259000000000002
2009102400,7.548999999999998
2009102500,3.025
2009102600,1.18
2009102700,1.4399999999999997
2009102800,2.4499999999999997
2009102900,0.41000000000000003
2009103000,11.231
2009103100,19.113000000000003
2009110100,5.097999999999999
2009110200,3.0669999999999997
2009110300,6.7330000000000005
2009110400,0.67
2009110500,6.215
2009110600,2.5650000000000004
2009110700,15.722000000000001
2009110800,5.489999999999998
2009110900,14.128
2009111000,4.55
2009111100,3.9530000000000007
2009111200,3.588
2009111300,6.009999999999999
2009111400,9.805000000000001
2009111500,7.827000000000002
2009111600,5.073999999999999
2009111700,5.275
2009111800,7.785000000000001
2009111900,5.247999999999998
2009112000,10.107999999999999
2009112100,3.925
2009112200,0.04
2009112300,4.209
2009112400,1.3729999999999996
2009112500,4.135999999999999
2009112600,7.342
2009112700,3.245
2009112800,10.212
2009112900,1.4459999999999997
2009113000,5.348999999999999
2009120100,11.353
2009120200,7.991999999999998
2009120300,10.516999999999998
2009120400,12.157
2009120500,3.698
2009120600,9.568
2009120700,4.346
2009120800,1.701
2009120900,17.006999999999998
2009121000,18.058
2009121100,21.002999999999997
2009121200,14.365999999999998
2009121300,14.339999999999998
2009121400,1.6759999999999995
2009121500,0.37500000000000006
2009121600,3.376
2009121700,1.14
2009121800,1.4860000000000002
2009121900,3.2059999999999995
2009122000,1.7080000000000002
2009122100,1.4629999999999994
2009122200,2.0909999999999997
